Year;Month;Day;Tmax;Tavg;Tmin;DewMax;DewAvg;DewMin;Hmax;Havg;Hmin;WindMax;WindAvg;WindMin;Pmax;Pavg;Pmin;PreMax;PreAvg;PreMin
1999;1;1;-4;-7;-10;-4;-7;-10;100;-;93;13;-;0;1029;-;1024;-;0.00;-
1999;1;2;-1;-4;-7;-2;-4;-7;100;-;93;16;-;0;1024;-;1017;-;0.00;-
1999;1;3;3;1;-1;0;-1;-2;93;-;81;21;-;0;1017;-;1012;-;0.00;-
1999;1;4;8;1;-5;4;1;-5;100;-;76;23;-;0;1022;-;1012;-;0.00;-
1999;1;5;3;-1;-5;3;0;-5;100;-;93;8;-;0;1025;-;1021;-;0.00;-
1999;1;6;1;0;-1;1;0;-2;100;-;93;8;-;0;1025;-;1020;-;0.00;-
1999;1;7;1;0;-1;1;0;-2;100;-;93;10;-;0;1020;-;1007;-;0.00;-
1999;1;8;3;1;-1;3;1;-1;100;-;93;6;-;0;1008;-;1002;-;0.00;-
1999;1;9;6;2;-2;4;2;-2;100;-;81;13;-;0;1007;-;1002;-;0.00;-
1999;1;10;6;1;-3;4;0;-3;100;-;81;21;-;0;1019;-;1007;-;0.00;-
1999;1;11;3;1;0;3;1;0;100;-;93;32;-;11;1019;-;1009;-;0.00;-
1999;1;12;4;2;1;4;1;-4;100;-;65;27;-;0;1015;-;1009;-;0.00;-
1999;1;13;3;1;-1;2;0;-4;100;-;65;13;-;0;1015;-;1007;-;0.00;-
1999;1;14;5;1;-2;1;0;-2;100;-;70;19;-;0;1013;-;1009;-;0.00;-
1999;1;15;6;2;-2;3;1;-2;100;-;70;27;-;0;1019;-;1013;-;0.00;-
1999;1;16;6;2;-2;2;0;-2;100;-;70;10;-;0;1020;-;1017;-;0.00;-
1999;1;17;5;1;-3;3;-1;-3;100;-;87;21;-;0;1022;-;1020;-;0.00;-
1999;1;18;6;1;-3;2;-1;-3;100;-;70;14;-;0;1026;-;1022;-;0.00;-
1999;1;19;6;0;-5;3;-1;-5;100;-;81;11;-;0;1028;-;1026;-;0.00;-
1999;1;20;-2;-3;-3;-2;-2;-3;100;-;100;6;-;0;1031;-;1028;-;0.00;-
1999;1;21;-3;-4;-4;-3;-3;-4;100;-;93;8;-;0;1030;-;1019;-;0.00;-
1999;1;22;-3;-4;-4;-3;-3;-4;100;-;93;8;-;0;1028;-;1026;-;0.00;-
1999;1;23;-2;-3;-3;-3;-3;-4;100;-;93;8;-;0;1028;-;1026;-;0.00;-
1999;1;24;-2;-3;-3;-2;-3;-4;100;-;93;8;-;0;1029;-;1027;-;0.00;-
1999;1;25;-2;-3;-3;-2;-3;-4;100;-;86;11;-;3;1029;-;1024;-;0.00;-
1999;1;26;-2;-3;-3;-3;-3;-3;100;-;93;8;-;0;1024;-;1010;-;0.00;-
1999;1;27;0;-2;-3;0;-1;-3;100;-;93;6;-;0;1009;-;1003;-;0.00;-
1999;1;28;5;1;-3;2;-1;-4;100;-;70;27;-;0;1013;-;1002;-;0.00;-
1999;1;29;2;-2;-5;0;-2;-8;100;-;80;34;-;0;1016;-;1003;-;0.00;-
1999;1;30;-3;-7;-9;-9;-11;-13;80;-;59;24;-;0;1024;-;1017;-;0.00;-
1999;1;31;-3;-6;-8;-8;-9;-12;86;-;64;29;-;0;1028;-;1023;-;0.00;-
1999;2;1;-3;-7;-11;-7;-9;-12;100;-;69;16;-;0;1030;-;1026;-;0.00;-
1999;2;2;2;-1;-4;1;-2;-7;100;-;74;11;-;0;1026;-;1025;-;0.00;-
1999;2;3;5;3;1;3;2;0;100;-;87;37;-;0;1027;-;1021;-;0.00;-
1999;2;4;7;4;3;5;3;2;100;-;87;34;-;10;1021;-;1010;-;0.00;-
1999;2;5;10;7;3;4;3;0;93;-;66;48;-;21;1008;-;988;-;0.00;-
1999;2;6;6;3;1;0;-2;-3;75;-;61;52;-;6;1001;-;998;-;0.00;-
1999;2;7;6;2;-1;1;-1;-4;93;-;61;26;-;6;1002;-;995;-;0.00;-
1999;2;8;4;2;0;-1;-3;-5;87;-;61;40;-;8;1002;-;996;-;0.00;-
1999;2;9;2;-2;-6;0;-3;-7;100;-;65;27;-;0;1004;-;996;-;0.00;-
1999;2;10;1;-1;-3;0;-1;-3;100;-;93;23;-;2;1001;-;996;-;0.00;-
1999;2;11;-2;-3;-3;-2;-3;-3;100;-;93;21;-;3;1007;-;998;-;0.00;-
1999;2;12;-2;-3;-4;-3;-4;-5;100;-;80;26;-;6;1011;-;1009;-;0.00;-
1999;2;13;0;-2;-4;-1;-2;-4;100;-;93;13;-;2;1020;-;1012;-;0.00;-
1999;2;14;-2;-7;-12;-3;-6;-12;100;-;86;16;-;0;1024;-;1020;-;0.00;-
1999;2;15;1;-6;-12;-2;-6;-12;100;-;75;29;-;0;1023;-;1022;-;0.00;-
1999;2;16;-1;-6;-10;-1;-4;-10;100;-;80;21;-;2;1018;-;1005;-;0.00;-
1999;2;17;3;0;-2;1;-2;-4;93;-;75;37;-;0;1006;-;1000;-;0.00;-
1999;2;18;2;-2;-6;-1;-4;-8;100;-;70;42;-;0;1016;-;1006;-;0.00;-
1999;2;19;2;-4;-10;0;-4;-10;100;-;75;23;-;0;1020;-;1014;-;0.00;-
